domain,google_indexed,archive_api_url
desktopbsd.net,1,http://web.archive.org/cdx/search/cdx?url=desktopbsd.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
debauchery.com,1,http://web.archive.org/cdx/search/cdx?url=debauchery.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
girldressup.net,1,http://web.archive.org/cdx/search/cdx?url=girldressup.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
gigeshare.com,1,http://web.archive.org/cdx/search/cdx?url=gigeshare.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
sendo.com,1,http://web.archive.org/cdx/search/cdx?url=sendo.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
media-convert.com,1,http://web.archive.org/cdx/search/cdx?url=media-convert.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
cakefinancial.com,1,http://web.archive.org/cdx/search/cdx?url=cakefinancial.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
prioritymortgagegroup.com,1,http://web.archive.org/cdx/search/cdx?url=prioritymortgagegroup.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
jfkresearch.com,1,http://web.archive.org/cdx/search/cdx?url=jfkresearch.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
kaskus.us,1,http://web.archive.org/cdx/search/cdx?url=kaskus.usoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
battleforums.com,1,http://web.archive.org/cdx/search/cdx?url=battleforums.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
echunav.com,1,http://web.archive.org/cdx/search/cdx?url=echunav.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
thejobsmovie.com,1,http://web.archive.org/cdx/search/cdx?url=thejobsmovie.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
homebusiness.net,1,http://web.archive.org/cdx/search/cdx?url=homebusiness.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
towerdefence.net,1,http://web.archive.org/cdx/search/cdx?url=towerdefence.netoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
comunidadargentina.com,1,http://web.archive.org/cdx/search/cdx?url=comunidadargentina.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
publinegocios.com,1,http://web.archive.org/cdx/search/cdx?url=publinegocios.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
marcasyfranquicias.com,1,http://web.archive.org/cdx/search/cdx?url=marcasyfranquicias.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
buscadordeinmuebles.com,1,http://web.archive.org/cdx/search/cdx?url=buscadordeinmuebles.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
hotelesdebrasil.com,1,http://web.archive.org/cdx/search/cdx?url=hotelesdebrasil.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
cochesparalaventa.com,1,http://web.archive.org/cdx/search/cdx?url=cochesparalaventa.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
vehiculosalaventa.com,1,http://web.archive.org/cdx/search/cdx?url=vehiculosalaventa.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
guiadechile.com,1,http://web.archive.org/cdx/search/cdx?url=guiadechile.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
cochesparaventa.com,1,http://web.archive.org/cdx/search/cdx?url=cochesparaventa.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
majority.com,1,http://web.archive.org/cdx/search/cdx?url=majority.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
classica.fm,1,http://web.archive.org/cdx/search/cdx?url=classica.fmoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
nordx.com,1,http://web.archive.org/cdx/search/cdx?url=nordx.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
jorpetz.com,1,http://web.archive.org/cdx/search/cdx?url=jorpetz.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
homepad.com,1,http://web.archive.org/cdx/search/cdx?url=homepad.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
oilcareer.com,1,http://web.archive.org/cdx/search/cdx?url=oilcareer.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
sdlcomm.com,1,http://web.archive.org/cdx/search/cdx?url=sdlcomm.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
nutritionnewsfocus.com,1,http://web.archive.org/cdx/search/cdx?url=nutritionnewsfocus.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
silverscreensirens.com,1,http://web.archive.org/cdx/search/cdx?url=silverscreensirens.comoutput=json&limit=1&fastLatest=true&filter=!statuscode:200
